action,allergens,bloque,classification,detail,family,fat_pct,hydration_pct,id,name,preferment_type,priority,recipe_kind,salt_pct,sugar_pct,yeast_pct
refinamiento proceso/APPCC/notas; sin validación,,DATA5,B,"Fórmula plausible para fondos oscuros; presencia de tomate aceptable, pero proceso genérico y falta criterio de tostado/sudado.",,,,REC-MIREPOIX-OSCURA,Mirepoix oscura,,P2,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,B,"Fórmula funcional, pero proceso genérico. Puede requerir control de uso en crudo y conservación corta.",,,,REC-PICADA-AJO-PEREJIL,Picada de ajo y perejil,,P2,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,B,"Correcta como derivada de bechamel con tomate; el nombre puede admitir base bechamel o velouté, pero la ficha usa bechamel.",,,,REC-SALSA-AURORA,Salsa aurora,,P2,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,B,"Fórmula coherente; proceso genérico. Usa fumet/velouté, por lo que depende de bases madre pendientes.",,,,REC-SALSA-BERCY-PESCADO,Salsa bercy para pescado,,P2,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,B,"Fórmula plausible, pero proceso y APPCC son genéricos. Falta integración del queso fuera de hervor y control de piel/gratinado.",,,,REC-SALSA-MORNAY,Salsa mornay,,P2,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,B,"Fórmula plausible, pero proceso genérico; falta sudado prolongado de cebolla sin coloración y acabado fino.",,,,REC-SALSA-SOUBISE,Salsa soubise,,P2,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,B,Fórmula coherente; proceso genérico y depende de velouté/fondo de ave.,,,,REC-SALSA-SUPREMA,Salsa suprema,,P2,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,B,"Fórmula coherente con ajo, harina, fumet, vino y perejil; proceso genérico. Depende del fumet.",,,,REC-SALSA-VERDE,Salsa verde española,,P2,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,A,Fórmula 1:1 y proceso específico correctos como propuesta documental. Queda pendiente de uso real en salsa.,,,,REC-ROUX-BLANCO,Roux blanco,,P3,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,A,Proceso correcto y nota técnica adecuada sobre menor poder espesante.,,,,REC-ROUX-OSCURO,Roux oscuro,,P3,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,A,Fórmula 1:1 y proceso diferenciado correcto. El menor poder espesante relativo se entiende en la progresión de tostado.,,,,REC-ROUX-RUBIO,Roux rubio,,P3,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,A,"Proporción 3:1 y uso como aliño son correctos. Proceso genérico, pero riesgo técnico bajo.",,,,REC-VINAGRETA-BASE,Vinagreta 3:1,,P3,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,D,La fórmula usa jamón cocido y no refleja bien compango/embutido gallego; proceso genérico insuficiente para casquería.,,,,REC-CALLOS-GALLEGOS,Callos con garbanzos,,P1,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,D,Usa chorizo/morcilla asturiana y no desarrolla los vuelcos; fórmula y proceso no defienden bien la denominación madrileña.,,,,REC-COCIDO-MADRILENO,Cocido madrileño,,P1,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,D,Uso de jamón cocido y morcilla de Burgos descontextualiza la denominación. El proceso de estofado no refleja un cocido/potaje regional.,,,,REC-COCIDO-MONTANES,Cocido montañés,,P1,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,D,Usa alubia blanca riñón en lugar de faba/fabe asturiana y compango parcialmente genérico; proceso de cocido regional genérico.,,,,REC-FABADA-ASTURIANA,Fabada asturiana,,P1,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,D,Fórmula regional débil: jamón cocido y ausencia de chorizo/elementos de compango más propios. Proceso genérico para legumbre grande.,,,,REC-JUDIONES-GRANJA,Judiones de la granja,,P1,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,D,Fórmula usa melocotón donde la referencia tradicional suele ser pera; proceso genérico y sin majado claro.,,,,REC-OLLA-GITANA,Olla gitana,,P1,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,D,La fórmula incluye jamón cocido y pollo como solución genérica; no queda bien defendida como rancho canario tradicional. Proceso genérico.,,,,REC-RANCHO-CANARIO,Rancho canario,,P1,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,D,Fórmula con guisantes “con vaina” y sin sal explícita; requiere clarificar guarnición cocinada y APPCC de huevo.,,,,REC-TORTILLA-PAISANA,Tortilla paisana,,P1,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,D,"Denominación problemática: la línea habla de volandeira tratada como zamburiña. Además usa bechamel, que convierte la ficha en variante gratinada con lácteos/gluten.",,,,REC-ZAMBURINAS-GRATINADAS,Volandeiras gratinadas tipo zamburiña,,P1,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,D,Usa carne picada de cerdo; la zorza se defiende mejor con carne de cerdo troceada/adobada. Falta maceración/adobo.,,,,REC-ZORZA-PATATAS,Zorza con patatas,,P1,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,C,"Fórmula plausible, pero proceso genérico no sirve para masa fermentada, relleno, formado y horneado. Requiere prueba de rendimiento.",,,,REC-EMPANADA-GALLEGA-ATUN,Empanada gallega de atún,,P1,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,C,"Concepto correcto, pero no es buena ficha para abatir/conservar como producción diferida; huevo frito/yema exige servicio inmediato y control térmico.",,,,REC-HUEVOS-ROTOS-JAMON,Huevos rotos con jamón,,P1,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,C,"Concepto correcto y proceso más específico, pero usa bonito entero y caldo de marisco; rendimiento por limpieza y punto del bonito exigen prueba.",,,,REC-MARMITAKO,Marmitako de bonito,,P1,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,C,"Concepto correcto, pero escabeche requiere control de apertura, retirada de valvas, proporción aceite/vinagre, enfriamiento y conservación.",,,,REC-MEJILLONES-ESCABECHE,Mejillones en escabeche,,P1,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,C,"Concepto aceptable, pero depende de salsa brava marcada como P1 y de mayonesa; APPCC de salsa fría y fritura no puede quedar genérico.",,,,REC-PATATAS-BRAVAS,Patatas bravas,,P1,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,C,"Concepto correcto, pero depende de mirepoix oscura y fondo oscuro, ambos pendientes de prueba. Rendimiento, colágeno, reducción y desgrasado no están validados.",,,,REC-RABO-TORO,Rabo de toro estofado,,P1,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,C,Concepto correcto pero sanitariamente sensible: huevo de cáscara y punto muy jugoso. No debe estabilizarse sin criterio APPCC docente claro.,,,,REC-TORTILLA-BETANZOS,Tortilla estilo Betanzos,,P1,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,C,"Uso de huevo líquido pasteurizado es prudente; proceso y APPCC aún deben fijar cuajado, temperatura y servicio/conservación.",,,,REC-TORTILLA-ESPANOLA,Tortilla española de patata y cebolla,,P1,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,B,"Concepto correcto; harina de almendra puede funcionar, pero conviene aclarar si sustituye almendra cruda. APPCC frío adecuado.",,,,REC-AJOBLANCO,Ajoblanco,,P2,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,B,Concepto plausible; proceso genérico aunque menciona majado en notas. Rendimiento y punto de cordero pendientes.,,,,REC-CALDERETA-CORDERO,Caldereta de cordero,,P2,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,B,"Concepto bien orientado y proceso reforzado; solo queda controlar desalado, salinidad, cocción de verdura y rendimiento.",,,,REC-CALDO-GALLEGO,Caldo gallego,,P2,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,B,"Concepto correcto, pero el proceso no describe asado directo/horno, pelado, reposo ni aliño.",,,,REC-ESCALIVADA,Escalivada,,P2,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,B,Concepto defendible como propuesta docente; proceso demasiado genérico para fabes/almeja y sin purgado/apertura final del molusco.,,,,REC-FABES-ALMEJAS,Fabes con almejas,,P2,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,B,"Concepto bastante defendible; depende de fondo oscuro y la picada usa almendra/pistacho, aceptable como variante pero conviene justificar.",,,,REC-FRICANDO,Fricandó de ternera,,P2,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,B,"Denominación plausible; falta proceso específico de escaldado, textura y relación caldo/gofio. Alérgeno gluten por gofio de trigo y maíz.",,,,REC-GOFIO-ESCALDADO,Gofio escaldado,,P2,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,B,"Concepto defendible; falta secuencia específica de desalado, cocción de lacón, grelos y patata. Sal añadida peligrosa si el lacón no se controla.",,,,REC-LACON-GRELOS,Lacón con grelos,,P2,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,B,"Ficha docente funcional, aunque el uso de jamón cocido es pobre para una versión tradicional. Proceso genérico.",,,,REC-LENTEJAS-ESTOFADAS,Lentejas estofadas,,P2,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,B,"Concepto correcto; falta proceso específico de desalado/cocción de oreja, corte y aliño estilo feira.",,,,REC-OREJA-GALLEGA,Oreja a la gallega,,P2,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,B,"Concepto correcto, pero la patata Kennebec no representa la papa canaria tradicional y el proceso no describe arrugado, evaporación ni cristalización salina.",,,,REC-PAPAS-ARRUGADAS-MOJO,Papas arrugadas con mojo picón,,P2,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,B,Concepto válido; proceso frío adecuado pero debe precisar tratamiento de vegetales crudos y huevo cocido. Denominación “Jaén” puede exigir majado/emulsión de yema según versión.,,,,REC-PIPIRRANA-JAEN,Pipirrana,,P2,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,B,"Concepto correcto; proceso genérico no refleja cocción/asustado opcional, reposo, corte con tijera ni servicio en plato de madera.",,,,REC-PULPO-A-FEIRA,Pulpo a feira,,P2,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,B,"Fórmula plausible; proceso demasiado genérico y no recoge cocción, escurrido, chafado ni dorado final con panceta/rostes.",,,,REC-TRINXAT,Trinxat de col y patata,,P2,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,B,"Concepto defendible; faltan limpieza, control de concha, sofrito y gratinado. Alérgeno molusco y gluten por pan rallado.",,,,REC-VIEIRAS-GALLEGA,Vieiras a la gallega,,P2,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,B,Concepto correcto si se entiende xouba como sardina pequeña; ingrediente “sardina fresca entera” debe precisar calibre.,,,,REC-XOUBAS-FRITAS,Xoubas fritas,,P2,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,D,"Denominación demasiado amplia: “bica gallega” exige definir variante. La fórmula con impulsor, mantequilla y nata puede ser una bica mantecada docente, pero no queda contextualizada.",,,,REC-BICA-GALLEGA,Bica gallega,,P1,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,D,"El proceso genérico habla de marcar/sellar, contrario al concepto de blanqueta blanca; la ligazón con yema/nata y limón exige control de temperatura para evitar corte.",,,,REC-BLANQUETA-TERNERA,Blanqueta de ternera,,P1,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,D,"Fórmula usa huevo entero, cuando el estándar docente de crème brûlée se formula normalmente con yemas; proceso genérico no fija baño/temperatura/cuajado.",,,,REC-CREME-BRULEE,Crème brûlée,,P1,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,D,Nombre no coincide del todo: usa piña como fruta principal y solo coulis de fresa. Además depende de merengue francés y chantilly.,,,,REC-PAVLOVA-FRUTOS-ROJOS,Pavlova de frutos rojos,,P1,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,D,"Como “pisto base” queda mal defendido por el uso de pimiento de Herbón, que introduce variabilidad/picor y no representa un pimiento base neutro.",,,,REC-PISTO-BASE,Pisto de verduras,,P1,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,D,"Denominación débil: el caldo dashi aparece como ingrediente genérico, no como subreceta controlada; falta tare shoyu, montaje, cocción de fideo y tratamiento de huevo/pollo.",,,,REC-RAMEN-SHOYU,Ramen shoyu,,P1,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,D,Denominación defendible solo como versión docente; usa vinagre de vino en vez de vinagre de arroz y arroz redondo estándar. Riesgo sanitario alto por salmón crudo y arroz cocido manipulado en frío.,,,,REC-SUSHI-MAKI-BASICO,Maki básico de salmón y aguacate,,P1,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,C,"Concepto correcto; depende de fumet y requiere cocción suficiente de tinta, control de dureza del calamar y punto de salsa.",,,,REC-CALAMARES-TINTA,Calamares en su tinta,,P1,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,C,"Concepto correcto, pero depende de fondo oscuro y requiere validación de colágeno, reducción, desgrasado y rendimiento real.",,,,REC-CARRILLERAS-VINO-TINTO,Carrilleras de ternera al vino tinto,,P1,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,C,"Fórmula coherente, pero es sanitariamente sensible: el marinado ácido no equivale a cocción ni elimina por sí solo el riesgo parasitario/microbiológico.",,,,REC-CEVICHE-CORVINA,Ceviche de corvina,,P1,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,C,"Concepto reconocible, pero depende de mirepoix oscura y fondo oscuro aún pendientes; falta marinada opcional, reducción del vino, desgrasado y control de colágeno/salsa.",,,,REC-COQ-AU-VIN,Coq au vin,,P1,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,C,"Concepto correcto, pero sensible por centro poco cocido, huevo y servicio caliente inmediato. Rendimiento/unidades y tiempo de cocción deben probarse.",,,,REC-COULANT-CHOCOLATE,Coulant de chocolate,,P1,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,C,Ficha bastante bien orientada; depende de fumet y sofrito no estabilizados y de marisco/cefalópodo. Requiere prueba de absorción y reposo.,,,,REC-FIDEUA-MARISCO,Fideuá de marisco,,P1,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,C,"Concepto válido como variante con bacon, pero depende de holandesa; huevo escalfado y salsa emulsionada caliente no admiten espera larga ni abatimiento estándar.",,,,REC-HUEVOS-BENEDICTINOS-CLASICOS,Huevos benedictinos,,P1,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,C,"Concepto correcto, pero sensible: apertura de mejillón, aprovechamiento de carne, bechamel, empanado y fritura no pueden quedar genéricos.",,,,REC-MEJILLONES-TIGRE,Mejillones tigre,,P1,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,C,"Fórmula plausible, pero como masa fermentada enriquecida requiere control de amasado, temperatura, incorporación de mantequilla, fermentaciones y rendimiento.",,,,REC-PAST-BRIOCHE,Masa brioche,,P1,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,C,"Fórmula orientativa, pero laminado y fermentación son de alta sensibilidad: temperatura de masa/mantequilla, pliegues, reposos, formado y cocción no están desarrollados.",,,,REC-PAST-CROISSANT,Masa de croissant,,P1,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,C,"Funciona más como subreceta que como producto final; falta temperatura de calentamiento, disolución de azúcar, batido hasta enfriar y uso/destino.",,,,REC-PAST-MERENGUE-SUIZO,Merengue suizo,,P1,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,C,"Pisto plausible, aunque con berenjena como variante; el huevo convierte la ficha en servicio inmediato o requiere criterio de cuajado/conservación.",,,,REC-PISTO-MANCHEGO-HUEVO,Pisto manchego con huevo,,P1,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,C,"Concepto correcto, pero depende de masa de pizza y salsa de tomate; el proceso no desarrolla fermentación, formado, horneado ni servicio.",,,,REC-PIZZA-MARGARITA,Pizza margarita,,P1,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,C,"Usa huevo pasteurizado, correcto, pero revuelto cremoso exige servicio inmediato; no conviene ficha de producción diferida.",,,,REC-REVUELTO-SETAS,Revuelto cremoso de setas,,P1,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,C,"Concepto correcto, pero depende de patatas panadera y fumet; requiere validar racionado, merma del pescado entero, punto de horno y rendimiento.",,,,REC-RODABALLO-HORNO-PANADERA,Rodaballo al horno con patata panadera,,P1,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,C,Concepto correcto pero sensible por holandesa; salmón entero requiere merma/racionado y la salsa no admite espera prolongada.,,,,REC-SALMON-HOLANDESA-ESPARRAGOS,Salmón con holandesa y espárragos,,P1,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,C,"Concepto válido, pero ficha no debe tratarse como producción diferida estándar: huevo cuajado en salsa requiere servicio inmediato o criterio de cuajado seguro.",,,,REC-SHAKSHUKA,Shakshuka,,P1,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,B,"Concepto correcto; proceso genérico y debe detallar cocción de fruta, arenado del crumble y horneado hasta dorado.",,,,REC-APPLE-CRUMBLE,Crumble de manzana,,P2,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,B,Fórmula correcta; proceso genérico y depende de picada de ajo y perejil. Falta control de agua de vegetación.,,,,REC-CHAMPINONES-SALTEADOS,Champiñones salteados,,P2,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,B,"Concepto defendible; proceso insuficientemente específico para dorado, sofrito, reducción y control de grasa del cordero.",,,,REC-CORDERO-CHILINDRON,Cordero al chilindrón,,P2,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,B,"Fórmula plausible; proceso genérico y no describe reposo de masa, engrase con unto/manteca, extendido fino ni cocción por ambas caras.",,,,REC-FILLOAS-LECHE,Filloas de leche,,P2,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,B,Fórmula plausible; proceso genérico y conservación indica frío/caliente de forma incoherente para pasta seca.,,,,REC-GALLETAS-MANTEQUILLA,Galletas de mantequilla,,P2,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,B,"Fórmula correcta como propuesta docente; proceso demasiado genérico y no explicita triturado fino, ajuste de textura ni alérgeno sésamo del tahini.",,,,REC-HUMMUS,Hummus de garbanzo,,P2,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,B,"Fórmula correcta; proceso genérico pese a que la ficha exige gelatinización, enfriado completo, corte, rebozado y fritura.",,,,REC-LECHE-FRITA,Leche frita,,P2,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,B,"Fórmula coherente; proceso genérico para reposo, estirado fino, formado y fritura.",,,,REC-OREJAS-CARNAVAL,Orejas de carnaval,,P2,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,B,"Fórmula defendible; falta proceso específico de batido, reposo en frío, dosificado, azúcar/copete y horneado.",,,,REC-PAST-MAGDALENA,Masa de magdalena clásica,,P2,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,B,"Concepto correcto y usada por otra ficha; falta proceso específico de corte, pochado/horneado, cebolla y punto meloso.",,,,REC-PATATAS-PANADERA,Patatas panadera,,P2,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,B,"Fórmula plausible, pero falta técnica específica: cocción previa, secado, dorado en grasa y acabado con mantequilla/perejil.",,,,REC-PATATAS-RISOLADAS,Patatas risoladas,,P2,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,B,"Fórmula defendible como guiso docente; falta proceso específico de dorado del pollo, sofrito de pimientos/tomate, reducción de vino y cocción tapada.",,,,REC-POLLO-CHILINDRON,Pollo al chilindrón,,P2,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,B,"Fórmula correcta; falta cocción, escurrido, secado, tamizado/prensado y emulsión con leche/mantequilla.",,,,REC-PURE-PATATA,Puré de patata clásico,,P2,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,B,Fórmula plausible; proceso demasiado genérico para una ratatouille: conviene cocción separada/parcial de hortalizas y control de humedad.,,,,REC-RATATOUILLE,Ratatouille,,P2,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,B,"Fórmula correcta, pero proceso menos específico que gazpacho; falta explicar triturado/emulsión, enfriado, guarnición y uso de huevo cocido.",,,,REC-SALMOREJO-CORDOBES,Salmorejo cordobés,,P2,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,B,"Fórmula correcta como versión con brioche; proceso genérico para infusionado, remojo, rebozado y fritura.",,,,REC-TORRIJAS,Torrijas de leche,,P2,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,B,Concepto docente útil; proceso genérico y mezcla hortalizas de tiempos distintos.,,,,REC-VERDURAS-SALTEADAS,Verduras salteadas de temporada,,P2,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,B,"Fórmula correcta; falta técnica de glaseado: líquido justo, mantequilla/azúcar, reducción brillante y punto tierno.",,,,REC-ZANAHORIAS-GLASEADAS,Zanahorias glaseadas,,P2,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,A,"Ficha bastante correcta como propuesta documental: fórmula y proceso contemplan lavado/desinfección, emulsión, frío y servicio. Solo queda validar rendimiento/litros.",,,,REC-GAZPACHO-ANDALUZ,Gazpacho andaluz,,P3,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,A,"Ficha ya está bastante corregida: proceso específico de infusión, cocción, azúcar final y enfriado. Queda pendiente por rendimiento real y textura.",,,,REC-PAST-ARROZ-LECHE,Arroz con leche cremoso,,P3,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,D,"Registro culinario con familia de panadería. Hay focaccias específicas en bakery_recipes; el proceso es genérico y no describe amasado, pliegues, fermentación, greñado/aceitado, alveolado ni cocción.",,,,REC-FOCACCIA,Focaccia,,P1,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,D,"Masa de empanada gallega ubicada como culinary_recipe y con proceso genérico. No define reposo, amasado, formado, relación con relleno, cocción ni si representa una versión con grasa/aceite de zaragallada.",,,,REC-MASA-EMPANADA,Masa de empanada gallega,,P1,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,D,"Subreceta usada por REC-PIZZA-MARGARITA. Fórmula plausible, pero el proceso no define amasado, reposo, fermentación, boleado, estirado, horneado ni conservación de masa.",,,,REC-MASA-PIZZA,Masa de pizza,,P1,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,D,"Pan común registrado como culinary_recipe. Proceso genérico y notas incoherentes para pan: indican servicio ≥65 °C/abatimiento/regeneración, impropio de pan común salvo servicio caliente específico.",,,,REC-PAN-BASICO,Pan común,,P1,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,D,"Nombre “Pan gallego básico” con harina del país e hidratación alta, pero proceso genérico y coexistencia con versiones específicas en bakery_recipes. No debe confundirse con figura protegida ni con pan gallego validado.",,,,REC-PAN-GALLEGO,Pan gallego básico,,P1,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,D,"Usada por 6 fichas. La denominación “30 °Brix” no queda defendida: 0,5 kg azúcar + 0,7 l agua se aproxima más a un jarabe superior a 30 °Brix antes de evaporación; el proceso no mide refractómetro ni punto.",,,,REC-PAST-ALMIBAR-30,Almíbar 30 °Brix orientativo para calar,,P1,culinary,,,
refinamiento proceso/APPCC/notas; sin validación,,DATA5,D,"Fórmula coherente para pasta quebrada dulce, pero el proceso está claramente contaminado por una plantilla de pasta italiana. Además se usa indebidamente en Quiche lorraine, ya bloqueada.",,,,REC-PAST-QUEBRADA-DULCE,Pasta quebrada dulce,,P1,culinary,,,
