bloque,recipe_kind,id,name,risk_family,direct_allergens,derived_allergens,action,source
DATA7,culinary,REC-BACALAO-VIZCAINA,Bacalao a la vizcaína,pescado/marisco/anisakis,Pescado,Pescado | Sulfitos,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-BANOFFEE,Banoffee,lácteos/postres fríos,Gluten | Leche,Leche,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-BECHAMEL,Salsa bechamel,lácteos/postres fríos,Gluten | Leche,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-BERENJENAS-MIEL,Berenjenas fritas con miel,general,Gluten,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-BICA-GALLEGA,Bica gallega,huevo/emulsiones,Gluten | Huevos | Leche,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-BLANQUETA-TERNERA,Blanqueta de ternera,huevo/emulsiones,Huevos | Leche,Apio,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-BOLOÑESA-BASE,Salsa boloñesa,general,Sulfitos,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-BOUQUET-GARNI,Bouquet garni clásico,general,,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-BROWNIE-CHOCOLATE-NUECES,Brownie de chocolate y nueces,huevo/emulsiones,Gluten | Huevos | Soja | Leche | Frutos de cáscara,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-CALAMARES-TINTA,Calamares en su tinta,pescado/marisco/anisakis,Sulfitos | Moluscos,Pescado | Sulfitos,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-CALDEIRADA-MERLUZA,Caldeirada de merluza,pescado/marisco/anisakis,Pescado,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-CALDERETA-CORDERO,Caldereta de cordero,general,Gluten | Frutos de cáscara | Sulfitos,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-CALDO-CORTO-PESCADO,Caldo corto para pescado,pescado/marisco/anisakis,,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-CALDO-GALLEGO,Caldo gallego,general,,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-CALLOS-GALLEGOS,Callos con garbanzos,general,,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-CANAS-CREMA,Cañas fritas rellenas de crema,huevo/emulsiones,Gluten | Huevos | Leche | Sulfitos,Huevos | Leche,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-CARRILLERAS-VINO-TINTO,Carrilleras de ternera al vino tinto,general,Gluten | Apio | Sulfitos,Sulfitos,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-CEVICHE-CORVINA,Ceviche de corvina,pescado/marisco/anisakis,Pescado,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-CHAMPINONES-SALTEADOS,Champiñones salteados,general,,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-CHOCOS-ARROZ,Arroz con chocos,pescado/marisco/anisakis,Moluscos,Pescado | Sulfitos,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-CHURROS,Churros,general,Gluten,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-COCIDO-MADRILENO,Cocido madrileño,general,,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-COCIDO-MONTANES,Cocido montañés,general,,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-COQ-AU-VIN,Coq au vin,general,Gluten | Sulfitos,Apio | Sulfitos,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-CORDERO-CHILINDRON,Cordero al chilindrón,general,Sulfitos,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-CORDON-BLEU-POLLO,Cordon bleu de pollo,huevo/emulsiones,Gluten | Huevos | Leche,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-COULANT-CHOCOLATE,Coulant de chocolate,huevo/emulsiones,Gluten | Huevos | Soja | Leche,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-CREMA-CALABAZA,Crema de calabaza,lácteos/postres fríos,Leche,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-CREME-BRULEE,Crème brûlée,huevo/emulsiones,Huevos | Leche,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-CROQUETAS-JAMON,Croquetas de jamón,huevo/emulsiones,Gluten | Huevos,Gluten | Leche,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-DEMI-GLACE,Demi-glace,general,,Sulfitos,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-DUXELLES,Duxelles de champiñón,lácteos/postres fríos,Leche,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-EMPANADA-GALLEGA-ATUN,Empanada gallega de atún,huevo/emulsiones,Gluten | Huevos | Pescado,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-ENSALADILLA-RUSA,Ensaladilla rusa,huevo/emulsiones,Huevos | Pescado,Huevos | Mostaza,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-ESCALIVADA,Escalivada,general,,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-ESCUDELLA,Escudella i carn d'olla,huevo/emulsiones,Gluten | Huevos | Leche,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-FABADA-ASTURIANA,Fabada asturiana,general,,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-FABES-ALMEJAS,Fabes con almejas,pescado/marisco/anisakis,Sulfitos | Moluscos,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-FALAFEL,Falafel,general,,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-FIDEUA-MARISCO,Fideuá de marisco,pescado/marisco/anisakis,Gluten | Crustáceos | Moluscos,Pescado | Sulfitos,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-FILLOAS-LECHE,Filloas de leche,huevo/emulsiones,Gluten | Huevos | Leche,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-FOCACCIA,Focaccia,general,Gluten,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-FONDO-BLANCO-AVE,Fondo blanco de ave,general,,Apio,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-FONDO-OSCURO-TERNERA,Fondo oscuro de ternera,general,Sulfitos,Apio,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-FRICANDO,Fricandó de ternera,general,Gluten | Frutos de cáscara | Sulfitos,Sulfitos,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-FUMET-PESCADO,Fumet de pescado clásico,pescado/marisco/anisakis,Pescado | Sulfitos,Apio,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-GALLETAS-MANTEQUILLA,Galletas de mantequilla,huevo/emulsiones,Gluten | Huevos | Leche,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-GAZPACHO-ANDALUZ,Gazpacho andaluz,lácteos/postres fríos,Gluten | Leche,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-GOFIO-ESCALDADO,Gofio escaldado,general,Gluten,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-GUACAMOLE,Guacamole,general,,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-HOLANDESA,Salsa holandesa,huevo/emulsiones,Huevos | Leche,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-HUEVOS-BENEDICTINOS-CLASICOS,Huevos benedictinos,huevo/emulsiones,Gluten | Huevos | Leche,Huevos | Leche,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-HUEVOS-ROTOS-JAMON,Huevos rotos con jamón,huevo/emulsiones,Huevos,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-HUMMUS,Hummus de garbanzo,general,Sésamo,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-JUDIONES-GRANJA,Judiones de la granja,general,Gluten,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-LACON-GRELOS,Lacón con grelos,general,,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-LASAÑA-BOLOÑESA-CLASICA,Lasaña boloñesa,cereales cocidos,Gluten | Leche,Gluten | Leche | Sulfitos,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-LECHE-FRITA,Leche frita,huevo/emulsiones,Gluten | Huevos | Leche,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-LENTEJAS-ESTOFADAS,Lentejas estofadas,general,,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-MARMITAKO,Marmitako de bonito,pescado/marisco/anisakis,Crustáceos | Pescado | Moluscos,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-MASA-EMPANADA,Masa de empanada gallega,general,Gluten,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-MASA-PIZZA,Masa de pizza,general,Gluten,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-MAYONESA-BASE,Mayonesa,huevo/emulsiones,Huevos | Mostaza,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-MEJILLONES-ESCABECHE,Mejillones en escabeche,pescado/marisco/anisakis,Moluscos,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-MEJILLONES-TIGRE,Mejillones tigre,huevo/emulsiones,Gluten | Huevos | Moluscos,Gluten | Leche,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-MENESTRA-VERDURAS,Menestra de verduras,general,Gluten,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-MERLUZA-GALLEGA,Merluza a la gallega,pescado/marisco/anisakis,Pescado,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-MERLUZA-SALSA-VERDE-CLASICA,Merluza en salsa verde,pescado/marisco/anisakis,Gluten | Pescado | Sulfitos | Moluscos,Pescado | Sulfitos,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-MIGAS-EXTREMENAS,Migas extremeñas,huevo/emulsiones,Gluten | Huevos,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-MIREPOIX-BLANCA,Mirepoix blanca,general,Apio,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-MIREPOIX-OSCURA,Mirepoix oscura,general,Apio,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-MUFFINS-ARANDANOS,Muffins de arándanos,huevo/emulsiones,Gluten | Huevos | Leche,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-OLLA-GITANA,Olla gitana,general,Gluten | Frutos de cáscara,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-OREJA-GALLEGA,Oreja a la gallega,general,,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-OREJAS-CARNAVAL,Orejas de carnaval,huevo/emulsiones,Gluten | Huevos | Leche | Sulfitos,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-PAD-THAI,Pad thai de langostinos,huevo/emulsiones,Crustáceos | Huevos | Pescado | Cacahuetes | Soja,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-PAELLA-VALENCIANA,Paella valenciana,general,,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-PAN-BASICO,Pan común,general,Gluten,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-PAN-GALLEGO,Pan gallego básico,general,Gluten,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-PAPAS-ARRUGADAS-MOJO,Papas arrugadas con mojo picón,general,,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-PAST-ALMIBAR-30,Almíbar 30 °Brix orientativo para calar,general,,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-PAST-ARROZ-LECHE,Arroz con leche cremoso,cereales cocidos,Leche,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-PAST-BAVAROISE-VAINILLA,Bavaroise de vainilla,huevo/emulsiones,Pescado | Leche,Huevos | Leche,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-PAST-BIZCOCHO-PLANCHA,Bizcocho plancha para enrollar,huevo/emulsiones,Gluten | Huevos,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-PAST-BRAZO-GITANO-CREMA,Brazo de gitano de crema,huevo/emulsiones,,Gluten | Huevos | Leche,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-PAST-BRIOCHE,Masa brioche,huevo/emulsiones,Gluten | Huevos | Leche,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-PAST-CHANTILLY,Crema chantilly,lácteos/postres fríos,Leche,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-PAST-CHEESECAKE-FRIO,Tarta fría de queso,huevo/emulsiones,Gluten | Huevos | Pescado | Leche,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-PAST-CHOUX,Pasta choux,huevo/emulsiones,Gluten | Huevos | Leche,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-PAST-COULIS-FRESA,Coulis de fresa,general,,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-PAST-CREMA-CATALANA,Crema catalana,huevo/emulsiones,Huevos | Leche,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-PAST-CREMA-INGLESA,Crema inglesa,huevo/emulsiones,Huevos | Leche,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-PAST-CREMA-MANTEQUILLA,Crema de mantequilla,lácteos/postres fríos,Leche,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-PAST-CREMA-PASTELERA,Crema pastelera,huevo/emulsiones,Huevos | Leche,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-PAST-CROISSANT,Masa de croissant,lácteos/postres fríos,Gluten | Leche,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-PAST-FLAN-HUEVO,Flan de huevo,huevo/emulsiones,Huevos | Leche,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-PAST-FRAISIER-CREMA-FRESA,Fraisier de crema y fresa,huevo/emulsiones,,Gluten | Huevos | Leche,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-PAST-GANACHE-NEGRA,Ganache negra para relleno y cobertura,lácteos/postres fríos,Leche,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-PAST-GENOVES,Bizcocho genovés,huevo/emulsiones,Gluten | Huevos | Leche,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-PAST-HOJALDRE-BASE,Hojaldre,lácteos/postres fríos,Gluten | Leche,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-PAST-LEMON-PIE,Tarta de limón y merengue,huevo/emulsiones,,Gluten | Huevos | Leche,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-PAST-MAGDALENA,Masa de magdalena clásica,huevo/emulsiones,Gluten | Huevos | Leche,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-PAST-MANZANA-COMPOTA,Compota de manzana,general,,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-PAST-MERENGUE-FRANCES,Merengue francés,huevo/emulsiones,Huevos,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-PAST-MERENGUE-ITALIANO,Merengue italiano,huevo/emulsiones,Huevos,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-PAST-MERENGUE-SUIZO,Merengue suizo,huevo/emulsiones,Huevos,,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
DATA7,culinary,REC-PAST-MILHOJAS-CREMA,Milhojas de crema pastelera,huevo/emulsiones,,Gluten | Huevos | Leche,homogeneización APPCC/alérgenos por familia; proveedor prevalece,852/2004; 2073/2005; 1169/2011; RD 1021/2022; AESAN si procede
